x,y
46.125,52.8
46.875,8.4
46.875,40.6
55.125,42.6
78.625,71.2
62,61.4
72.75,85.6
85.625,76.2
31,-3.2
69.5,77.4
47,35.8
54.25,45
22.125,-1.8
28.125,12
74.25,59.8
71.75,52.4
59.75,51.4
24.875,33.8
56,52.6
40.625,33.2
75.625,95
69,63.2
67.75,94.8
53.25,55
43.25,36.2
34.875,27.2
54.5,33.2
54,25
61.875,56.8
34.375,9.2
33.125,11.8
34.375,30.6
26.625,9
65.125,64.6
44.625,25
72.375,80.8
44.75,26.6
77.75,56.8
46.75,37
75.125,87
56.5,56
33.5,14.8
70.5,92.8
39.375,30.2
22,8.8
83.75,76.6
29.25,8.8
60.75,39.6
14.375,14.8
52.375,45.4
80.25,86
64,60.8
77.25,74.6
79.875,72.2
40.5,62.8
23.375,6
54,39
71.875,40.4
61.375,85.6
63.375,64.2
65.75,52
82,92.2
51.875,70.8
63.5,37.4
29.125,26.4
86.75,67.4
41.125,-9
76.625,60.6
53,56.8
38.5,16.6
56.5,68.2
62.5,54
54.5,41.8
56.875,67.8
42.125,12.4
57.25,71.6
50.5,49
43,30.2
72.5,90.4
83.375,58.4
55.625,63.6
88.5,78.4
48.875,41.4
65.75,44.6
48.625,41.4
74.75,96.6
65.25,59.4
84.375,98
43,26.6
56.25,50.2
45.625,38
46.625,52.2
57.125,69
53,41.8
51.5,57
52.375,46.2
35.75,46.4
33.625,12.6
58.5,83.4
49.75,25.6
75.375,48.8
74.875,51.4
80,76.4
79.625,84.2
53.875,21.8
44.375,34.2
73.875,61.4
45.875,39.2
51.375,55
22,25.2
59,24.8
42.5,28.2
60.25,52.2
28.625,7.8
77.625,99.4
48.75,34
72.25,96.8
50.75,23.6
52,45.8
76.25,69.8
36.875,34.4
32.625,4.6
33.25,35.2
80.875,96.8
59.125,33
64.375,65
57.5,38.6
50,34.8
53.5,58.2
53.5,54.2
65.375,44.6
86.875,66.4
48.125,-8.2
34.375,2.6
69.375,85.2
42.625,28.6
54.125,48
25.125,13
44.75,9
44.5,23.6
47.875,44.6
50.125,32
65.125,56.2
57.75,54.4
52.625,47.4
71.5,78
65.5,64.6
52.5,37.6
55.5,67.8
28,33.6
60.125,64.2
40.5,7.4
70.375,98.6
60,49.2
54.25,35.4
40.375,49.6
88.625,92.2
51.25,22
71.75,51.4
42.375,40.6
22.625,13
61.625,70.8
42.125,27.2
44.25,13.8
40.75,34
43,22
20,21.8
56.5,58.2
60.625,72.2
47.625,35.8
66.25,75.8
56.25,49
37.375,39.6
28.25,23
67.125,42.8
96.375,82.2
49.625,51.4
35.75,28
71.375,85.8
41.875,-7.6
58.75,32.8
53.375,82
80.25,99.2
63,44
98.75,94.4
60.375,60.6
30.875,26.2
54.375,33
42.625,19.8
29,17.8
52.125,44.4
63,61
58.5,61
35,6.6
84.625,95.8
41.25,53.2
49.375,41
63.5,42.6
58.25,58.2
49.75,44.2
78,78.4
57.875,52.6
43.75,52.6
49.25,62.4
48.5,16.6
44.375,46.4
43.125,38
49.875,22.6
49.75,37.2
85,78.2
71,89.4
70.25,51.2
39.125,14.6
45,19
88.75,107.4
37.5,46.4
34.375,-5.6
73.875,70.8
46.5,29.6
58,51
53.75,56.6
42.25,48
32.25,22
34,33
60.125,64
50.375,60
62.625,58
46.25,45.6
76.375,41
77.125,77
77.125,66.8
72.125,47.6
54.5,14.4
34.5,35
45.75,31.6
20.25,34.6
49.625,50.8
72.625,81.8
50.875,30.6
52.75,53.6
61.625,73.8
60.5,64.6
93.625,97.2
68.5,65
33.75,-14.6
52.625,28.4
78,109.4
72.5,87.6
77.75,103.2
25.875,2.4
48.75,55
75.5,86
42.25,25.4
40.875,6.8
67.25,75.6
36,23.4
37.5,25.6
69,39.6
68.5,83.6
75.5,73
45.125,19.2
35,12.6
52.875,60.2
35.875,52.6
62,61
21.875,-1.2
83.375,75
31.125,41.6
69.75,85
46.125,47.6
81.625,69.2
40.875,9.4
58.875,38.8
76.75,109.8
61,62.8
62.625,39.6
33,30.2
32.125,19.8
66.25,41.4
79.875,121.8
45.625,34.4
41.5,32.4
55.25,32.6
30.625,14.2
32.625,6.4
74.875,82.2
72,101.4
36.125,13.8
57.75,58.8
29.875,15.2
83.75,102.4
44.875,34
43.875,59.6
53.125,61.8
46.375,51.8
42.375,53.8
49,35.2
33.625,22.2
65.25,52.6
60,62.6
59.875,42
68.875,73.4
50.25,27.2
46.75,30.6
66.625,61
76.75,77
43.5,11.6
74.625,67
38.75,21.6
68.625,65.2
57.375,34.4
57.5,23.8
46.625,10
34.25,0.4
52.5,48
24.125,6.4
37.875,2.8
62.5,68.8
51.625,42
55.375,52.4
59.125,51.6
43.625,16
68.75,56
41.75,9
56.25,65.4
63.75,49
44.875,35.4
71.875,63.4
76.875,107
65.75,71.2
31.375,29.2
61.25,62
47,26
39.75,20
69.875,76.6
71.5,45.4
57.625,53.4
87.25,87.4
32.625,23.4
19.125,-8.2
8.75,-7.8
61.125,61.4
44.875,19.6
59.625,57.2
60.75,75.2
63,39
49.375,32
28.125,10
37,32
78.75,79.6
45.25,31.6
59.25,84.2
36.375,38.2
68.5,57
47.625,47.6
38.25,11
72.375,98
57.25,65.2
56.125,56.6
68,71.2
64.5,59.4
69.625,55.4
51.125,34
59.5,57.6
