x,y
44.125,56.2
46.875,16.8
51.625,39.8
54.75,44.6
80.5,72.2
64.25,54.8
63.125,94
82.25,77.2
30,-0.2
73.875,65.4
51.75,43
55.375,46.2
23.625,-2.8
26.125,4
67.875,60.8
72,64.4
63.75,56
31.5,35.6
56.125,48.4
39.125,32.2
87.875,98.8
66,58
64.625,93.2
54.5,43
38.375,28.6
39.375,31.6
55,44.4
53.75,24.2
63.25,52.6
35.875,6.4
31,12.6
35.625,34
27.875,4.6
69.5,62.4
47.5,17.8
72.625,66
41.125,31
71.875,64.6
50.875,41.8
65.125,91
59.25,51.4
31.875,14
65.75,93
39.125,30.2
30.125,8.4
83.125,76.4
30.375,8.6
56,39.8
29.25,6.8
55.5,45.4
82.5,76
65.375,55
76.625,67.8
83.375,77.4
44.625,58.6
28.875,8.8
51,42.2
67.625,60
61,84.2
67.75,58.6
65.875,58.6
88.875,101.8
52.375,69.4
63,35.4
30.125,34.2
86.625,81
33.875,3
72.75,65.6
57.25,46.8
39.625,11.2
54.75,73.8
60.125,50
58.375,48.4
55.375,75.6
42.5,13.8
55,74.2
54.5,43.6
40.25,30.6
65,92.4
77.75,72
54.25,74.6
90.625,85.2
53.75,45.2
59.875,52
50.5,40.4
65.625,91.2
61.625,54
89.75,98.8
37.5,33.6
58.5,49.6
38.375,33.4
44.125,59.8
56,77.2
53.25,41.2
47.125,64.6
56,45.2
37.125,48.2
34.5,17.6
58.75,82.2
55.625,27.2
68,61
70.875,63.2
83.375,77.2
82.875,74.2
55.125,24.4
40.375,31.4
69.5,61
50.5,41.2
46.125,59.8
29,35.8
55.875,26
41.25,32.6
58.875,50
27.5,4.8
87,98.4
52.375,43.4
65.625,89.8
45.125,16.8
56.625,45.4
75.875,69.4
36,35.2
33.625,5
30.75,34.4
87.375,97.2
60.5,33.8
67.25,58.6
53,42
51,42.2
49.5,64.2
56.125,44.4
59.5,37
82.25,76.4
42.5,12.8
34,5.4
64.75,90.2
38.25,28
56,48
26.5,4
42.375,14
48.25,20.2
51.25,39.4
51.25,39.4
66.625,58
61.375,53.4
51.375,40.8
75.625,67.6
66.25,59.4
52.875,41.2
55.25,74.2
31.875,37.8
63,55.6
39.375,8.4
66.375,92.8
64,55.6
55.25,40.2
37.875,50.2
94.875,90.4
55.125,24.8
66.75,58.4
36.625,33.8
29.75,8.8
58.625,81.8
40.5,33.2
39.75,11.2
40,29.2
45.375,16.2
30.75,37
59.75,51.8
55,75
54.875,43.8
63.75,86.8
55.375,44
33.5,42.8
30.875,13
60.5,35.4
93.75,89.6
45.375,59
37.375,27
65.125,91.2
33.125,3.6
58.125,37.4
60.125,81.4
89.125,98.8
61.875,52.4
93.5,88.4
64.375,54
