x,y
57.233,85.9569
50.3483,84.1724
44.9164,85.4893
49.6249,86.3336
44.3093,82.066
42.36,81.8305
40.3653,81.6412
35.0436,78.4351
27.1869,75.6436
27.5715,75.1301
25.6359,72.4512
21.4157,66.8514
20.9453,64.6701
19.848,61.5033
17.1532,57.4288
37.9802,56.5933
35.61,51.8603
37.671,58.4154
36.492,51.0692
38.8388,58.8389
50.0537,66.9132
49.2728,65.7815
48.6464,63.0839
57.6645,65.8444
62.9546,65.2179
58.3918,66.6321
64.4677,64.4412
58.4497,64.7677
56.0936,66.6088
64.3923,60.4147
40.7706,38.7408
45.0632,33.7986
42.6957,31.7931
36.6317,38.7948
41.6525,32.7732
39.5386,36.8858
41.1576,33.3219
40.2861,35.3003
38.3111,40.0288
37.8352,40.8628
35.4517,41.5153
34.7899,51.8547
36.3819,55.8318
35.795,44.6157
19.4045,30.8173
30.8515,18.4131
29.4006,19.5746
36.0042,17.1878
48.2394,31.9418
49.8256,29.5894
44.9745,34.6859
44.9053,31.2013
50.3173,28.7804
53.194,28.3187
51.3825,31.5762
65.0047,35.8766
69.9888,40.8368
71.9887,42.6517
74.0825,47.569
73.0892,51.6239
68.5494,60.1607
67.5073,62.505
65.5691,61.1405
60.8875,65.6132
53.4568,85.703
40.2473,83.9759
54.0086,86.6503
53.3137,84.3423
55.1473,86.5653
54.781,84.5871
55.4683,83.3991
57.3153,85.1138
50.338,85.7652
52.4485,85.7914
42.7434,83.6659
41.4796,61.8663
26.1929,68.8676
37.3997,57.1107
55.5276,86.3722
55.6406,83.3526
55.8416,86.0159
61.0973,82.8832
68.4424,84.1318
70.4639,81.6599
73.5543,81.5853
66.5677,84.4188
77.5139,78.5693
76.5204,78.0065
79.8278,75.9063
83.222,69.2181
90.7925,58.3717
92.5015,49.3934
90.5372,46.8112
89.3096,52.8818
90.0353,45.7139
91.8683,45.2569
89.3374,38.778
92.7023,42.149
56.8987,31.0215
63.7769,33.6004
61.4169,29.5297
64.9703,34.1669
61.1872,29.8277
62.5026,32.8527
77.2163,17.7235
75.1264,15.4045
72.1302,13.4836
69.4313,13.2827
64.4012,12.5533
62.8192,13.6399
59.74,11.5802
54.8243,8.9438
55.8457,9.42612
46.1049,10.0539
49.1954,9.75298
49.1965,9.50428
52.4707,9.79045
48.3426,9.86562
51.1511,9.04366
49.2848,9.41679
51.1136,9.76236
46.7229,10.2159
45.9876,12.8719
49.0456,9.50329
49.5124,12.3561
47.8275,11.1215
56.5627,11.033
62.0498,9.98652
59.9532,10.1409
64.289,12.6284
69.2532,13.9782
66.0565,11.2951
75.6021,16.4102
64.8817,12.6389
62.8372,10.3736
69.0602,14.2701
43.6141,32.1528
47.3457,30.4995
91.6446,42.5616
50.6815,85.8839
48.415,86.1734
47.5872,85.6301
