x,y
63.4739,78.4608
61.0654,78.0883
55.3637,78.9332
32.4866,68.8865
44.9284,77.9916
45.3162,77.9199
61.136,78.8556
59.7275,78.9215
32.8463,70.9087
50.3381,79.1651
23.2544,55.3687
26.0185,60.9413
24.4587,58.9742
33.1979,70.4643
33.9596,72.538
23.7161,57.3406
43.6089,77.8715
41.979,76.8442
47.907,78.8845
64.6535,77.9936
45.7251,78.0303
38.2311,75.0121
47.167,78.2737
41.0792,76.9196
49.0216,79.1009
41.8435,76.4964
44.1346,78.0861
49.0355,79.1221
76.6897,70.0091
63.7316,78.0056
35.2561,22.5033
29.0356,29.1001
50.861,16.5865
53.6832,16.7073
67.5977,18.785
39.4567,19.5356
30.8161,26.3131
33.0064,23.9319
25.7622,34.7569
27.0782,32.5728
38.7221,20.8058
23.0122,47.7707
38.3522,75.3396
29.011,28.3394
37.3612,22.4806
29.6967,27.741
44.2615,17.797
34.681,22.6141
37.984,23.8143
52.2685,16.652
49.5576,16.2667
55.3226,16.235
37.2398,21.2605
51.131,16.5778
54.0493,16.1823
68.8492,19.8059
63.3173,17.3713
80.8887,30.0938
84.6026,39.7212
84.6489,56.8344
76.9033,68.6732
81.4416,64.4237
58.8722,78.9279
59.0792,78.8818
32.639,71.1095
57.4242,79.054
59.0835,79.0521
41.4984,76.9971
66.8778,77.056
41.566,77.136
66.9866,77.0171
41.8369,77.1346
40.041,76.0651
47.0446,78.2557
48.3349,78.9998
28.8066,66.3659
39.0057,75.8792
35.9349,73.9434
57.1634,79.197
46.9236,77.9972
48.8674,79.093
52.1163,79.2213
55.0472,79.291
57.7742,78.0245
49.6587,79.029
50.7006,79.5712
69.6278,75.0215
54.1989,79.4223
74.5339,72.5163
80.3122,66.3156
80.2844,65.2812
83.9083,58.9485
79.4099,67.3846
83.4441,36.2069
85.3335,55.2195
82.2036,62.0127
86.1354,47.1337
84.0419,57.8824
69.6,20.3979
55.7221,16.7055
65.934,18.4832
71.6793,21.1863
74.1779,23.6405
58.9754,16.565
79.1296,27.7872
72.4758,21.5385
65.8744,18.999
47.0513,18.124
66.0044,18.5713
51.4596,16.5513
54.6359,16.0477
37.217,21.2663
72.5561,21.7713
39.6954,19.6256
48.9866,16.4529
58.7887,16.8293
64.5014,18.7231
46.412,17.4704
64.7336,18.4272
71.726,23.6726
48.3115,17.2102
47.9677,16.812
58.3521,16.946
54.2661,16.0799
42.7253,18.6503
46.9432,16.7807
66.4373,18.3083
34.6798,23.23
64.4965,17.7317
56.4515,16.5869
78.3598,28.6244
73.5801,23.3778
73.3935,23.2863
65.2475,17.9048
77.5867,26.5508
66.6235,18.3709
49.9892,16.5101
48.2369,17.1389
85.5748,43.4766
47.9564,78.7941
81.3416,63.6411
60.803,79.1522
