x,y
59.6462,89.5427
58.3897,87.3427
59.4546,91.0559
58.3901,89.5133
58.9395,89.2343
58.2904,87.7324
27.9134,61.6551
26.734,61.4821
26.8978,61.0254
28.4547,57.3967
27.0039,60.8749
29.0927,58.4149
26.7055,60.8832
26.1101,60.3324
26.5745,61.1453
28.5793,59.824
29.8627,57.9963
26.1288,59.8357
30.5654,54.6793
36.7171,49.1798
37.0605,60.5758
45.079,60.1999
54.769,63.284
54.0309,60.1073
46.9771,58.0879
65.2933,63.3909
64.8677,74.7179
61.5222,79.437
46.7569,60.2358
48.9889,58.6589
41.2282,48.1591
48.2178,35.3983
43.9725,45.35
47.2429,40.0698
44.9508,30.9212
45.1531,25.8865
45.6291,26.0289
42.5819,26.3094
43.9983,26.197
36.9375,49.1176
33.3574,57.1049
30.0345,57.0351
26.3077,60.3654
35.7653,52.6916
44.7585,26.3412
43.7309,20.9462
41.2274,20.7485
42.7047,19.8471
43.8013,21.7443
41.859,20.4056
42.7261,27.4915
43.5944,29.3709
47.673,42.7788
43.8714,43.6551
46.1076,36.6988
46.6326,38.2872
45.8428,39.6444
71.9521,37.4512
73.0219,34.1356
75.5975,41.6202
66.2295,63.3647
71.9744,58.2784
66.7303,58.6873
63.9642,71.0477
56.06,82.0751
57.5453,87.396
57.713,88.5517
57.4241,85.7595
58.6158,89.3055
58.2998,89.6258
56.9327,86.0607
58.2993,85.1067
58.4594,81.2644
55.5639,78.9398
56.2857,82.1526
26.9178,61.2377
26.3004,59.4314
26.6124,60.722
58.5319,90.6075
60.5368,88.7759
57.7619,88.4491
58.4834,90.7697
58.3801,85.7548
57.8415,88.5709
58.3666,90.516
60.6698,83.566
62.6636,80.9747
78.4779,61.3355
76.3991,58.2234
80.3008,61.7771
80.8375,50.3745
81.6016,50.869
83.4811,52.9801
83.897,53.6815
80.7498,50.4403
85.3392,52.7805
85.553,51.8773
80.8615,51.4402
45.4035,33.626
55.3668,25.3152
65.9926,24.4465
67.1339,20.6212
66.7298,21.1455
71.6023,16.7025
79.1621,13.2896
76.102,13.7662
70.6907,18.0015
79.3289,12.2224
75.9687,16.229
68.9452,20.0829
54.7281,23.1728
54.888,22.21
47.9897,16.051
49.0983,16.6665
40.5339,13.7021
42.8288,12.071
45.4296,12.7971
49.7888,17.7896
44.3702,14.4493
47.2216,14.9641
43.7879,16.1875
42.9245,19.4203
43.2992,12.4881
38.3426,9.53068
40.1992,16.1662
44.1562,14.1029
48.0398,18.733
77.0337,11.5883
76.7647,13.3901
75.6038,13.2828
81.0831,8.9217
78.2185,10.187
79.4962,8.43418
80.9544,9.32759
81.91,9.53235
79.7606,8.11557
43.6216,19.5364
44.822,21.0471
84.4197,50.8433
57.6494,88.5642
58.0987,90.223
58.7463,91.408
